service_id,date,exception_type
DSE-HG-1810,20220404,1
DSE-US-1810,20220404,1
DSE-HG-1810,20220405,1
DSE-US-1810,20220405,1
DSE-HG-1910,20220414,1
DSE-US-1910,20220414,1
DSE-HG-1910,20220415,1
DSE-US-1910,20220415,1
DSE-HG-1910,20220416,1
DSE-US-1910,20220416,1
DSE-HG-1310,20220417,1
DSE-US-1310,20220417,1
DSE-HG-1910,20220418,1
DSE-US-1910,20220418,1
DSE-HG-1910,20220419,1
DSE-US-1910,20220419,1
DSE-HG-1210,20220420,1
DSE-US-1210,20220420,1
DSE-HG-1910,20220429,1
DSE-US-1910,20220429,1
DSE-HG-1910,20220430,1
DSE-US-1910,20220430,1
DSE-HG-1310,20220501,1
DSE-US-1310,20220501,1
DSE-HG-1910,20220503,1
DSE-US-1910,20220503,1
DSE-HG-1910,20220504,1
DSE-US-1910,20220504,1
DSE-HG-1910,20220512,1
DSE-US-1910,20220512,1
DSE-HG-1910,20220513,1
DSE-US-1910,20220513,1
DSE-HG-1910,20220514,1
DSE-US-1910,20220514,1
DSE-HG-1310,20220515,1
DSE-US-1310,20220515,1
DSE-HG-1910,20220516,1
DSE-US-1910,20220516,1
DSE-HG-1210,20220517,1
DSE-HG-1910,20220517,1
DSE-US-1210,20220517,1
DSE-US-1910,20220517,1
DSE-HG-1310,20220518,1
DSE-US-1310,20220518,1
DSE-HG-1910,20220530,1
DSE-US-1910,20220530,1
DSE-HG-1910,20220531,1
DSE-US-1910,20220531,1
DSE-HG-1650,20220601,1
DSE-US-1650,20220601,1
DSE-HG-1910,20220602,1
DSE-US-1910,20220602,1
DSE-HG-1910,20220603,1
DSE-US-1910,20220603,1
DSE-HG-1910,20220604,1
DSE-US-1910,20220604,1
DSE-HG-1310,20220605,1
DSE-US-1310,20220605,1
DSE-HG-1910,20220614,1
DSE-US-1910,20220614,1
DSE-HG-1910,20220615,1
DSE-US-1910,20220615,1
DSE-HG-1910,20220617,1
DSE-US-1910,20220617,1
DSE-HG-1615,20220618,1
DSE-US-1615,20220618,1
DSE-HG-1310,20220619,1
DSE-US-1310,20220619,1
DSE-HG-1910,20220630,1
DSE-US-1910,20220630,1
DSE-HG-1910,20220701,1
DSE-US-1910,20220701,1
DSE-HG-1615,20220702,1
DSE-US-1615,20220702,1
DSE-HG-1310,20220703,1
DSE-US-1310,20220703,1
DSE-HG-1910,20220704,1
DSE-US-1910,20220704,1
DSE-HG-1910,20220705,1
DSE-US-1910,20220705,1
DSE-HG-1910,20220706,1
DSE-US-1910,20220706,1
DSE-HG-1910,20220707,1
DSE-US-1910,20220707,1
DSE-HG-1910,20220708,1
DSE-US-1910,20220708,1
DSE-HG-1910,20220709,1
DSE-US-1910,20220709,1
DSE-HG-1310,20220710,1
DSE-US-1310,20220710,1
DSE-HG-1910,20220721,1
DSE-US-1910,20220721,1
DSE-HG-1910,20220722,1
DSE-US-1910,20220722,1
DSE-HG-1615,20220723,1
DSE-US-1615,20220723,1
DSE-HG-1310,20220724,1
DSE-US-1310,20220724,1
DSE-HG-1910,20220725,1
DSE-US-1910,20220725,1
DSE-HG-1910,20220726,1
DSE-US-1910,20220726,1
DSE-HG-1210,20220727,1
DSE-US-1210,20220727,1
DSE-HG-1910,20220805,1
DSE-US-1910,20220805,1
DSE-HG-1810,20220806,1
DSE-US-1810,20220806,1
DSE-HG-1310,20220807,1
DSE-US-1310,20220807,1
DSE-HG-1910,20220809,1
DSE-US-1910,20220809,1
DSE-HG-1910,20220810,1
DSE-US-1910,20220810,1
DSE-HG-1910,20220819,1
DSE-US-1910,20220819,1
DSE-HG-1810,20220820,1
DSE-US-1810,20220820,1
DSE-HG-1310,20220821,1
DSE-US-1310,20220821,1
DSE-HG-1910,20220822,1
DSE-US-1910,20220822,1
DSE-HG-1910,20220823,1
DSE-US-1910,20220823,1
DSE-HG-1810,20220824,1
DSE-US-1810,20220824,1
DSE-HG-1910,20220902,1
DSE-US-1910,20220902,1
DSE-HG-1810,20220903,1
DSE-US-1810,20220903,1
DSE-HG-1310,20220904,1
DSE-US-1310,20220904,1
DSE-HG-1910,20220905,1
DSE-US-1910,20220905,1
DSE-HG-1910,20220906,1
DSE-US-1910,20220906,1
DSE-HG-1310,20220907,1
DSE-US-1310,20220907,1
DSE-HG-1910,20220919,1
DSE-US-1910,20220919,1
DSE-HG-1210,20220920,1
DSE-HG-1910,20220920,1
DSE-US-1210,20220920,1
DSE-US-1910,20220920,1
DSE-HG-1910,20220921,1
DSE-US-1910,20220921,1
DSE-HG-1910,20220922,1
DSE-US-1910,20220922,1
DSE-HG-1910,20220923,1
DSE-US-1910,20220923,1
DSE-HG-1810,20220924,1
DSE-US-1810,20220924,1
DSE-HG-1310,20220925,1
DSE-US-1310,20220925,1
DSE-HG-1910,20220930,1
DSE-US-1910,20220930,1
DSE-HG-1810,20221001,1
DSE-US-1810,20221001,1
DSE-HG-1310,20221002,1
DSE-US-1310,20221002,1
DSE-HG-1910,20221003,1
DSE-US-1910,20221003,1
DSE-HG-1910,20221004,1
DSE-US-1910,20221004,1
DSE-HG-1910,20221005,1
DSE-US-1910,20221005,1
